Date,AAPL,AMZN,GOOGL,JNJ,JPM,META,MSFT,NVDA,PG,XOM
2015-03-12,27.698412,18.712,27.848087,74.01694,45.67752,78.38247,35.2145,0.5460524,60.806374,52.940605
2015-03-13,27.507006,18.529,27.44265,73.557274,45.40213,77.5086,35.52354,0.54677474,60.613796,52.72058
2015-03-16,27.809698,18.6675,27.871412,74.92892,46.034782,77.528435,35.67807,0.5532784,61.89524,53.280075
2015-03-17,28.27486,18.596,27.671425,74.06145,45.85615,78.80949,35.79825,0.5600228,61.3693,52.852592
2015-03-18,28.593134,18.757,28.095718,75.225494,45.96035,80.34874,36.485016,0.5508696,62.03596,54.103523
2015-03-19,28.377243,18.662,27.97215,75.39603,45.55099,82.175964,36.304745,0.5593001,61.76189,53.060066
2015-03-20,28.021133,18.9245,28.03567,75.92242,45.96035,83.218704,36.811234,0.5653218,62.769318,53.141758
2015-03-23,28.312698,18.7555,28.056513,76.35247,45.50633,83.84433,36.794075,0.5470158,62.858192,53.701214
2015-03-24,28.196964,18.7045,28.66045,75.5962,45.000217,84.71821,36.828415,0.53954875,62.1619,53.129192
2015-03-25,27.46027,18.548,28.137402,74.395065,44.367565,82.34479,35.592205,0.5067905,61.48782,53.34292
2015-03-26,27.651678,18.3675,27.970661,74.24677,44.315464,82.434166,35.377598,0.50510424,60.850815,53.003464
2015-03-27,27.431334,18.528,27.668446,74.395065,44.3229,82.72217,35.171562,0.51497984,60.969315,52.538315
2015-03-30,28.125738,18.7295,27.846598,75.29218,45.372364,82.62286,35.162975,0.51714784,61.273037,53.826916
2015-03-31,27.693962,18.605,27.527014,74.58783,45.089523,81.64965,34.905445,0.5041406,60.695255,53.43092
2015-04-01,27.6539,18.513,27.268469,73.51278,44.9172,81.103455,34.956936,0.5060679,60.97673,53.091476
2015-04-02,27.892044,18.6125,26.862537,73.87611,45.34427,80.99423,34.58781,0.50727195,61.05822,52.99089
2015-04-06,28.343857,18.852,26.993544,73.52018,45.3068,81.86811,35.66947,0.52196527,61.510033,53.51265
2015-04-07,28.045626,18.7205,27.038704,74.217125,45.591515,81.748955,35.652313,0.52654195,61.028576,53.902378
2015-04-08,27.954376,19.06,27.236212,74.26161,45.74137,81.70923,35.557873,0.53039575,61.310043,52.84002
2015-04-09,28.168032,19.177,27.195518,75.12908,46.056057,81.59998,35.60939,0.5426801,61.39896,53.21089
2015-04-10,28.288216,19.1325,27.221325,75.670334,46.228374,81.470894,35.815426,0.54822,61.739674,53.78293
2015-04-13,28.232569,19.118,27.226284,74.55078,46.5056,82.434166,35.84974,0.54316175,61.798946,53.64463
2015-04-14,28.11016,19.2555,26.786608,74.52854,47.23237,82.940636,35.755325,0.5385852,61.924873,54.455532
2015-04-15,28.216991,19.1725,26.849134,74.58783,48.108986,82.13625,36.27899,0.5450887,61.85818,55.367023
2015-04-16,28.08123,19.302,26.972204,73.98728,47.80928,81.73903,36.193142,0.5417166,61.85078,55.147007
2015-04-17,27.765188,18.778,26.437246,73.83158,47.08252,80.219635,35.72957,0.5347313,61.132282,54.644123
2015-04-20,28.399492,19.4755,27.022326,74.2987,47.38222,82.5136,36.836998,0.53208184,61.384125,54.838966
2015-04-21,28.245932,19.559,26.942429,74.36542,46.68541,83.03995,36.605217,0.5313591,61.5397,54.612698
2015-04-22,28.626518,19.49,27.253082,74.46183,47.15744,84.04292,36.90567,0.53738105,61.547085,54.977264
2015-04-23,28.86021,19.4995,27.663977,74.48404,47.052544,81.83833,37.206146,0.5352128,60.44422,55.027557
2015-04-24,28.995983,22.255,28.467905,74.94372,46.90269,80.96443,41.095013,0.53063655,60.481567,54.669254
2015-04-27,29.523453,21.928,28.09373,74.57303,46.707886,81.341805,41.232376,0.5347313,60.18289,54.694397
2015-04-28,29.05829,21.4655,28.006887,74.69166,47.02258,80.12033,42.20245,0.53738105,60.048477,55.190994
2015-04-29,28.63097,21.4685,27.859001,74.43215,47.651936,79.9118,42.116592,0.5332863,59.62289,55.235016
2015-04-30,27.85421,21.089,27.232737,73.54985,47.397194,78.22358,41.756035,0.5347313,59.36902,54.920685
2015-05-01,28.69996,21.1435,27.351343,74.23937,47.659443,78.442055,41.77321,0.54797935,59.95142,55.851044
2015-05-04,28.644325,21.152,27.43471,74.4025,48.491093,78.263306,41.412636,0.54460716,59.99623,56.01445
2015-05-05,27.998875,21.0595,26.948387,73.772285,48.251335,77.021965,40.863228,0.53063655,59.787148,55.700165
2015-05-06,27.823055,20.955,26.55337,73.5276,47.891705,77.55824,39.73004,0.53232276,60.033558,55.436146
2015-05-07,27.995142,21.344,26.89876,73.8909,48.326263,77.88593,40.090607,0.5417166,59.884216,55.06526
2015-05-08,28.5226,21.6845,27.24167,75.23288,49.068005,77.965385,40.992,0.501732,60.45168,55.939003
2015-05-11,28.232054,21.6425,27.084356,74.90666,49.038044,77.468864,40.66578,0.49691468,59.936478,55.00102
2015-05-12,28.131483,21.551,26.734503,74.49146,48.970615,76.92267,40.648605,0.501732,59.697525,55.153122
